SpecimenID,Species,SamplingCategory,YearSampled,State,SiteInfo,lat,lon,Sp,Species_samplingcategory
812,Blackpoll Warbler,contemporary,2000,Quebec,"Mine Madeleine, Gaspesie",48.971,-66.005,BLPW,BLPW_contemporary
814,Blackpoll Warbler,contemporary,2000,Quebec,"Mine Madeleine, Gaspesie",48.971,-66.005,BLPW,BLPW_contemporary
815,Blackpoll Warbler,contemporary,2000,Quebec,"Mine Madeleine, Gaspesie",48.971,-66.005,BLPW,BLPW_contemporary
816,Blackpoll Warbler,contemporary,2000,Quebec,"Mine Madeleine, Gaspesie",48.971,-66.005,BLPW,BLPW_contemporary
817,Blackpoll Warbler,contemporary,2000,Quebec,"Mine Madeleine, Gaspesie",48.971,-66.005,BLPW,BLPW_contemporary
818,Blackpoll Warbler,contemporary,2000,Quebec,"Mine Madeleine, Gaspesie",48.971,-66.005,BLPW,BLPW_contemporary
819,Blackpoll Warbler,contemporary,2000,Quebec,"Mine Madeleine, Gaspesie",48.971,-66.005,BLPW,BLPW_contemporary
820,Blackpoll Warbler,contemporary,2000,Quebec,"Mine Madeleine, Gaspesie",48.971,-66.005,BLPW,BLPW_contemporary
873,Blackpoll Warbler,contemporary,2011,New York,Greene County - Catskills,42.271,-74.212,BLPW,BLPW_contemporary
906,Blackpoll Warbler,contemporary,2009,New York,Keene - Adirondack Area,44.255,-73.792,BLPW,BLPW_contemporary
908,Blackpoll Warbler,contemporary,2009,New York,North Elba - Adirondack Area,44.243,-73.958,BLPW,BLPW_contemporary
909,Blackpoll Warbler,contemporary,2009,New York,North Elba - Adirondack Area,44.243,-73.958,BLPW,BLPW_contemporary
910,Blackpoll Warbler,contemporary,2009,New York,North Elba - Adirondack Area,44.243,-73.958,BLPW,BLPW_contemporary
917,Blackpoll Warbler,contemporary,2009,New York,Greene County - Catskills,42.271,-74.212,BLPW,BLPW_contemporary
919,Blackpoll Warbler,contemporary,2009,New York,Greene County - Catskills,42.271,-74.212,BLPW,BLPW_contemporary
932,Blackpoll Warbler,contemporary,2009,New York,Greene County - Catskills,42.271,-74.212,BLPW,BLPW_contemporary
933,Blackpoll Warbler,contemporary,2009,New York,North Hudson - Adirondack Area,43.949,-73.73,BLPW,BLPW_contemporary
934,Blackpoll Warbler,contemporary,2009,New York,North Hudson - Adirondack Area,43.949,-73.73,BLPW,BLPW_contemporary
938,Blackpoll Warbler,contemporary,2009,New York,North Hudson - Adirondack Area,43.949,-73.73,BLPW,BLPW_contemporary
940,Blackpoll Warbler,contemporary,2009,New York,North Hudson - Adirondack Area,43.949,-73.73,BLPW,BLPW_contemporary
944,Blackpoll Warbler,contemporary,2009,New York,North Hudson - Adirondack Area,43.949,-73.73,BLPW,BLPW_contemporary
